Table: Table_1

2020-2021 ,10/5/20 2:45 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/26/21 10:57 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
,,Student was physically aggressive towards staff and displayed unsafe ,,
2020-2021 ,9/24/20 12:38 PM ,behavior by eloping. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/28/20 12:40 PM ,Student was physically aggressive towards staff and self. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/8/21 2:24 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/11/21 12:34 PM ,Student was physically aggressive towards staff and himself. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/10/21 12:12 PM ,Student was physically aggressive towards himself. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/18/21 10:45 AM ,Student displayed unsafe behaviorwith becoming physically aggressive towards himself ,Intervention: Time Out (minutes) ,
2020-2021 ,10/13/20 1:01 PM ,Student displayed unsafe behavior by eloping from staff and was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/22/20 2:14 PM ,Student was physically and verbally aggressive towrds staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/26/20 12:13 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/21/20 10:43 AM ,Student was verbally aggressive towards staff and displayed unsafe behavior by roaming the school. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/1/21 12:00 AM ,Student was physically and verbally aggressive towards staff and eloped from class. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 12:32 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/7/21 9:26 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/30/21 10:59 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/30/21 2:30 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/6/21 11:35 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/24/20 2:26 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/12/21 12:20 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/21/21 2:01 PM ,Student was physically aggressive ,Intervention: Time Out (minutes) ,
2020-2021 ,5/25/21 1:35 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/25/21 1:35 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/13/20 10:15 AM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/6/21 11:26 AM ,Student was physically aggressive towards staff and displayed unsafe behavior by eloping from staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/27/21 2:01 PM ,Student eloped from class and was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/20/20 1:24 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





