Table: Table_1

2017-2018 ,throwing bracelets, hitting head on wall, slapped another student on 1/16/18 10:04 AM chest and hitting support ,Intervention: Time Out (minutes) ,
,was upset about a situation and was venting. hit another student in ,,
2017-2018 ,2/6/18 12:30 PM face. ,Intervention: Time Out (minutes) ,
2017-2018 ,2/12/18 2:30 PM quiet, sitting, alone, anxious and angry ,Intervention: Time Out (minutes) ,
2017-2018 ,3/5/18 9:45 AM kicking, punching and throwing furniture ,Intervention: Time Out (minutes) ,
2017-2018 ,3/9/18 10:15 AM throwing items in classroom ,Intervention: Time Out (minutes) ,
2017-2018 ,6/19/18 12:46 PM swearing, attempting to hit, banging head and biting arm. ,Intervention: Time Out (minutes) ,
2017-2018 ,2/6/18 2:30 PM physically and verbally aggressive ,Intervention: Time Out (minutes) ,
2017-2018 ,12/18/1710:17 AM aggressive towards staff ,Intervention: Time Out (minutes) ,
2017-2018 ,12/18/17 11:40 AM physically aggressive, hitting and throwing things ,Intervention: Time Out (minutes) ,
2017-2018 ,12/19/17 12:30 PM aggressive towards staff; hitting breaking glasses and cutting nose. ,Intervention: Time Out (minutes) ,
2017-2018 ,1/16/18 12:04 PM student being unsafe, aggressing towards staff, hitting and kicking. ,Intervention: Time Out (minutes) ,
2017-2018 ,11/13/17 9:20 AM extremely aggressive towards staff ,Intervention: Time Out (minutes) ,
2017-2018 ,1/31/18 2:55 PM verbally and physically aggressive ,Intervention: Time Out (minutes) ,
2017-2018 ,2/8/18 10:12 AM student was being aggressive towards staff ,Intervention: Time Out (minutes) ,
2017-2018 ,AWOL 2/27/18 11:58 AM Kicking and running from staff ,Intervention: Time Out (minutes) ,
2017-2018 ,8/9/17 1:38 PM student aggressed towards staff ,Intervention: Time Out (minutes) ,
2017-2018 ,10/27/17 1:45 PM aggressive towards students. throwing objects, hitting and kicking ,Intervention: Time Out (minutes) ,
2017-2018 ,after calming room went to nurse, took meds, threw water in nurse 10/27/17 1:55 PM face ,Intervention: Time Out (minutes) ,
2017-2018 ,target student 1/9/18 11:45 AM physical aggression ,Intervention: Time Out (minutes) ,
2017-2018 ,1/9/18 1:32 PM student was hitting, pushing, and biting staff. ,Intervention: Time Out (minutes) ,
2017-2018 ,2/1/18 10:55 AM threatening to hurt staff and another student. ,Intervention: Time Out (minutes) ,
2017-2018 ,3/6/18 2:05 PM kicked another student ,Intervention: Time Out (minutes) ,
2017-2018 ,4/10/18 12:47 PM running away hitting and biting ,Intervention: Time Out (minutes) ,
2017-2018 ,4/11/18 12:00 PM hit staff, grabbed her hair and kicking staff ,Intervention: Time Out (minutes) ,
2017-2018 ,4/18/18 12:50 PM kicking, hitting, pushing and spitting ,Intervention: Time Out (minutes) ,





