Table: Table_1

2019-2020 ,3/13/20 11:28 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/21/19 1:53 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/17/19 1:27 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 2:08 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/13/20 2:51 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/14/20 11:20 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/27/20 9:45 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/27/20 1:11 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/28/20 2:12 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/2/20 12:57 PM Student was escorted back to school after he eloped from staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/12/20 11:23 AM Student was physically aggressive towards staff and students. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/23/19 1:50 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/24/19 10:32 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student was eloping from staff and was physically aggressive towards 9/9/19 1:00 PM staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/17/19 11:31 AM Student was running from staff and trying to bite staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student displayed unsafe behavior by running from staff and was also 11/14/19 12:10 PM physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/5/19 12:20 PM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student displayed unsafe behavior by slamming locker doors and 9/25/19 1:02 PM eloping from staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/25/19 11:23 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/15/19 11:53 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/21/20 11:45 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/21/20 12:45 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/24/19 12:48 PM Student became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/12/20 12:00 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/1/19 12:38 PM Student was throwing food and trying to tip over desks. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/1/19 12:47 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/9/19 12:15 PM Student was physically aggressive towards staff and students. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/18/19 12:27 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/9/19 10:15 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





