Table: Table_1

2020-2021 ,6/8/21 10:28 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/10/21 10:50 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/15/21 11:26 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/16/21 11:15 AM Student was physically aggressive towards staff and and disrobing. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was physically aggressive towards staff and eloped from the 6/16/21 1:20 PM classrrom. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/16/21 1:35 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/21/21 10:32 AM Student was physically aggressive towards staff and was disrobing. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/22/21 10:00 AM Student was physically aggressive towards staff and was disrobing. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/22/21 11:00 AM Student was physically aggressive towards staff and was disrobing. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/25/20 1:12 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/25/20 10:49 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/15/20 2:10 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/23/20 11:18 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/21/21 1:20 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/4/21 11:10 AM Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 11:57 AM Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 11:15 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/12/21 9:23 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/22/21 10:30 AM Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/18/21 12:35 PM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/18/21 2:05 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/13/21 9:56 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/19/21 10:05 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/20/21 9:31 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/11/21 12:55 PM Student was physically aggressive towards staff and eloped from class. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/11/21 2:31 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/23/21 1:39 PM Student was physically aggressive towards himself. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/26/21 11:03 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





