Table: Table_1

2020-2021 ,10/21/20 2:16 PM ,became upset in the classroom when he realized he missed a portion of the show on the Smartboard. Staff offered him offered the choice to re-watch it in the science lab or on his laptop. He continued to escalate and pulled all of the computer cords out. He also tried to hit/push/pull the computer When staff tried to block, he became physically aggressive. Staff utilized an escort to the t/o room. Dismissed from there. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/26/20 7:45 AM ,X Physical intervention- 2 Time Out Room - got upset he couldn't find his work on the paper. He became physical and hit staff. Support was called because student was not being safe. Student was escorted to time out room. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/26/20 10:36 AM ,Student was rolling around floor in PE and disrupting the lesson. He was redirected by staff but began to hit and refused to wear his mask and was asked to leave. Support called when he continued to refuse to leave hit his 1:1, and 2 person escort was performed to TO room. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/26/20 10:36 AM ,Student was rolling around floor in PE and disrupting the lesson. He was redirected by staff but began to hit and refused to wear his mask and was asked to leave. Support called when he continued to refuse to leave hit his 1:1, and 2 person escort was performed to TO room. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/29/201 10:40 AM ,got upset in speech. He became physical with staff. He would kick and hit staff. was escorted to T/O. ,Intervention: Time Out (minutes) ,





