Table: Table_1

2020-2021 ,5/4/21 1:00 PM ,X was upset in library because her stomach hurt and she wanted to go to the nurse. She attempted to run from the classroom. Began kicking the door and started throwing items at students. Walked to TO room and stayed until calm. TO ,Intervention: Time Out (minutes) ,
2020-2021 ,5/18/21 12:15 PM ,Student was taking a break in a calming room. Eloped from the room and ran to the basement and attempted to go after another student. Walked to TO and stayed until calm. TO . ,Intervention: Time Out (minutes) ,
2020-2021 ,3/8/21 9:00 AM ,became upset when he didn't earn his points. He started unplugging the computer and picking it up. Staff tried to call support and Brody became upset about that and started hitting and kicking and spitting on staff. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/23/21 8:10 AM ,Student became angry when he found out a specific staff member was out. Began hitting, kicking, spitting, and trying to bite went to calming room for 2 periods. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/24/218:05 AM ,-Student arrived to class and was angry due to a specific staff member not present. -student threw his shoes and books. Approached staff member and - slammed head into the staff, resulting in staff being hit in the mouth ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/26/20 8:20 AM ,Student eloped from classroom; support called; escorted to T.O.; was in T.O. for ; student was in hold of ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/26/208:20 AM ,Student eloped from classroom; support called; escorted to T.O.; was in T.O. for ; student was in hold of ,Intervention: Time Out (minutes) ,





