Table: Table_1

2020-2021 ,4/12/21 9:28 AM ,X X was asked to take a break after refusing to follow directions in the classroom -He tried to run in the hallway and so was escorted to the calming room -in the calming room he escalated and began hitting staff -Small Child Wrap ( ) - -T.O. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,4/12/21 9:28 AM ,X X was asked to take a break after refusing to follow directions in the classroom -He tried to run in the hallway and so was escorted to the calming room -in the calming room he escalated and began hitting staff -Small Child Wrap ) -T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/12/21 11:50 AM ,X was being unsafe in P.E. and had been prompted to take a break -He ran from staff and so was escorted to T.O. -T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/16/21 6:52 AM ,X became unsafe with instruments in music and had to have them removed. He went to the hall for a break and then began to hit staff so was escorted to T.O. T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/16/21 11:48 AM ,X X was unsafe with a laptop in the room and had to have it removed. he became upset and started hitting staff. was escorted to the time out room to maintain safety. T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/20/21 9:43 AM ,X had become unsafe with his IPad and needed to take a break. He attempted to run away from staff and so was escorted to time out. T.O. ,Intervention: Time Out (minutes) ,





