Table: Table_1

2019-2020 ,12/11/19 1:32 PM ,Hard time following direction and being non compliant. Eloped from class. Support called. Ran outside. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/16/19 10:29 AM ,Student had a hard time following directions. Eloped. Unsafe behavior. Escort to timeout by support staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/23/20 11:00 AM ,Eloped from class. Blocked door so students couldn't leave. Unsafe behavior. Escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/23/20 11:11 AM ,Eloped from time out to the fishbowl. Kicking property. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/24/20 12:20 PM ,Student unsafe in hall. Aggressive toward students and staff. Placed in hold. Student in timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/24/20 1:00 PM ,Student eloped to fishbowl. Unsafe behavior. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/24/20 1:54 PM ,Unsafe, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/28/20 1:16 PM ,Eloped from class. Support called, escorted to timeout ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/20 9:20 AM ,Eloped, hit teacher. Ran outside. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/20 10:10 AM ,Eloped from class. Unsafe in hall. Escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/18/19 10:10 AM ,Refused to do work. Was asked to take a break, she refused. Escorted to timeout by support. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/6/20 11:00 AM ,Upset she couldn't have a snack. Calling staff names. Punched and bit staff. In timeout she tried to hit staff, throwing shoes and swinging shirt. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/24/20 1:25 PM ,Student became disruptive during SS, running around classroom yelling and hit support called ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,2/25/20 11:23 AM ,Student hit staff after becoming upset because she wanted a toy that was not available at that time, support called ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,2/27/20 1:05 PM ,Student didn't want to do SS she began throwing things around classroom and hitting staff support called and she was escorted to TO to cool down ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,2/24/20 12:00 PM ,Student did not wan tot follow teacher direction so he was crawling under furniture and grabbing things on tables, climbed on chairs and tried to run around classroom ,Intervention: Physical Intervention (minutes) ,





