Table: Table_1

2020-2021 ,1/13/21 1:21 PM ,X time out: Physical interventions (small child and escort) was in the bird's nest. He began throwing food and objects at He was place in a small child and then escorted to the time out room. He was spitting on staff. Eventually he calmed and went to the cool down room. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/19/21 10:00 AM ,X X X was being non-compliant in the hallway. He ran from staff. Staff followed. kicked at staff. Staff blocked kick. n hit staff in the face. Staff placed in small child. support walked to calming area. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/23/201 10:45 AM ,Argument with another student; physical altercation broke out; support called; standing wrap performed until support came; escort to T.O.; Student was in T.O. for Student was in wrap for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/23/20 11:21 AM ,X Attempted physical altercation with another student while in calming room; support came; directed back to T.O. Student was in T.O. for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/13/20 10:35 AM ,Tried fighting with another student and swinging at random people; eloped outside; support called due to unsafe behavior; small child wrap performed for during the escort to time out room. Student was in time out room for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/13/2010:35 AM ,Tried fighting with another student and swinging at random people; eloped outside; support called due to unsafe behavior; small child wrap performed for during the escort to time out room. Student was in time out room for ,Intervention: Time Out (minutes) ,
2020-2021 ,3/23/21 11:00 AM ,Student attempted to start a fight with another student, so teacher took him out into the hallway to talk. Student eloped from the teacher. Support was called. Student's behavior continued to escalate into physical aggression and hitting of staff. Student was escorted to time out room where he stayed for ,Intervention: Time Out (minutes) ,





