Table: Table_1

2020-2021 ,3/9/21 9:00 AM ,9am support called and student removed mask and started spitting and being non compliant, Escorted to B206. 930 Student refused to wear his mask and spit all over contents in the classroom. Support called and student was escorted to TO. Was put in a two person hold. TO ,Intervention: Time Out (minutes) ,
2020-2021 ,3/15/21 1:05 PM ,Student was given a choice from 12:30-1p to do writing in an alternate location, student made the choice to stay and do the work in class. Student later refused to do work and removed his mask, student crawled on the floor, stood on counter. Not following directions, support called and escorted him to TO. TO ,Intervention: Time Out (minutes) ,
2020-2021 ,3/17/21 1:07 PM ,Refusing to do work. Removed his mask, crawling all over the classroom. Support called and escorted to TO. (The reason he removes his mask is he knows it will get him out of the classroom and work.) TO Physical Intervention length ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/17/21 1:07 PM ,Refusing to do work. Removed his mask, crawling all over the classroom. Support called and escorted to TO. (The reason he removes his mask is he knows it will get him out of the classroom and work.) TO1:07-1:09 Physical Intervention length 1min. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/22/21 12:35 PM ,At 12pm, student refused to do math, then removes his mask, student was in his place and being compliant. Staff gave him different options for a work location, student refused and started to yell, scream and became disrespectful towards staff and students. Support called, student escorted to TO. TO PI: ,Intervention: Time Out (minutes) ,
2020-2021 ,3/24/21 12:20 PM ,FG refused to put mask on, He was climbing on things and throwing objects off his desk and shelves. Escorted to TO by PI: TO: 1 ,Intervention: Time Out (minutes) ,





