Table: Table_1

2020-2021 ,11/2/2012:15 PM ,Student was unsafe throwing furniture at staff and left classroom. Support was called and escorted him to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,11/10/20 1:45 PM ,Student was swearing outside. Ran into neighborhood kid knocking him over. When asked to apologize he continued to swear around kids. Was asked to go in, began swinging at staff and was put in a small child. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/13/20 10:20 AM ,Another student was being loud. C.V. got frustrated, began swinging at other student. Was put in small child, support called. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/16/20 1:15 PM ,X Student ran from art and began to get physically aggressive with staff. Was in a hold ( ) and support escorted to t/o ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/16/20 1:15 PM ,X Student ran from art and began to get physically aggressive with staff. Was in a hold ( ) and support escorted to t/o ,Intervention: Time Out (minutes) ,
2020-2021 ,11/18/209:45 AM ,X X Student became frustrated with directions during PE. Began to throw objects around gym. Support called. Student began to kick and hit support. Was in hold ( then escorted to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/18/209:45 AM ,X Student became frustrated with directions during PE. Began to throw objects around gym. Support called. Student began to kick and hit support. Was in hold then escorted to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,11/18/2012:20 PM ,Student was putting mouth on water dispenser, throwing water at staff and running around without a mask. Student was escorted to T/O and kicked staff when being escorted ,Intervention: Time Out (minutes) ,
2020-2021 ,1/4/21 2:14 PM ,X Student heard bus get called and did not want to get on the bus. Began to get physically aggressive. Support called and student was in hold ( ) until support came. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,1/5/21 1:20 PM ,X Another student began to mock/instigate student in door window. CVD then began to be physically aggressive and was in a hold ( until body was calm. Support was called. ,Intervention: Physical Intervention (minutes) ,





