Table: Table_1

2018-2019 ,10/15/18 10:40 AM ,Student was throwing pencils in the classroom. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/5/18 1:48 PM ,Student was physically and verbally aggressive ,Intervention: Time Out (minutes) ,
2018-2019 ,11/28/18 12:53 PM ,Student was throwing and kicking items in the room and making threatening comments. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/1/19 1:20 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/22/19 3:25 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/31/18 11:45 AM ,Student displayed aggressive behavior by grabbing, pushing, and hitting. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/1/19 11:30 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/16/18 2:45 PM ,Student was hitting, kicking and throwing items. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/29/18 2:50 PM ,Student was hitting, kicking, and running away from staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/13/19 1:56 PM ,Student was banging on the classroom door and became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/14/19 11:08 AM ,Student was physically aggressive, unsafe and disruptive. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/9/19 12:02 PM ,Student was physically aggressive towards staff and students and support. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/10/19 8:07 AM ,Student was screaming and became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/25/19 10:35 AM ,Student was throwing desks. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/23/19 12:35 PM ,Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 1:40 PM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/6/19 2:57 PM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/7/18 11:30 AM ,Student was pulling hair and trying to hit. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/22/18 1:47 PM ,Student was grabbing staff hair and glasses and was trying to elope. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/29/18 10:06 AM ,Student was grabbing at and pulling staff hair ,Intervention: Time Out (minutes) ,
2018-2019 ,12/3/18 12:10 PM ,Student was pulling hair, punching and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/2/19 9:34 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/2/19 11:05 AM ,Student threw another students lunch on her and then became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/10/19 2:28 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/1/19 10:03 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/6/19 1:46 PM ,Student was physically aggressive with staff and himself. ,Intervention: Time Out (minutes) ,





