Table: Table_1

,,Student was physically aggressive towards staff and displayed unsafe ,,
2018-2019 ,1/23/19 10:00 AM ,behavior when destroying property. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/28/19 2:00 PM ,Student was physically aggressive and displayed unsafe behavior. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/6/19 1:00 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/7/19 12:29 PM ,Student was hitting staff and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/11/19 12:00 AM ,Student was kicking and hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/11/19 10:40 AM ,Student was disruptive and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/28/19 2:19 PM ,Student displayed aggressive behavior towards objects in the classroom. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/5/19 12:00 AM ,Student was swiping things and became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/2/19 7:40 AM ,Student became physically aggressive ,Intervention: Time Out (minutes) ,
2018-2019 ,6/11/19 9:50 AM ,Student was physically aggressive towards staff and was destroying property. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/6/19 9:20 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/20/18 10:07 AM ,Student was throwing desks and other objects in the classroom. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/22/19 10:30 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/14/19 1:35 PM ,Student physically aggressive towards staff and was screaming in the hallway. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/23/19 1:13 PM ,Student was spitting and running through the parking lot. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/2/18 12:00 PM ,Student was grabbing fire extinguisher and trying to leave the building. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/6/18 1:40 PM ,Student was running around the building and displayed unsafe behavior. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/14/18 9:17 AM ,Student was running from staff and tickling the people she came across in the hall/classroom. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/7/19 9:24 AM ,Student locked herself in the men's bathroom, was grabbing stuff of the walls and hissing at staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/28/19 2:18 PM ,Student was hitting, throwing objects, tipping tables and broke a mug. ,Intervention: Time Out (minutes) ,





