Table: Table_1

2019-2020 ,10/15/19 2:50 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/2/20 9:30 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student displayed unsafe behavior by eloping from school grounds. Support was called and student became verbally and physically 3/2/20 1:35 PM aggressive towards himself and staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/10/20 2:14 PM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/18/19 12:14 PM Student became physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/9/19 9:15 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/18/19 10:57 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 11:14 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/25/20 9:43 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/9/19 9:56 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/9/19 12:05 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/19/19 11:08 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/22/19 9:41 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/26/19 12:30 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/13/19 2:08 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/6/19 1:30 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/11/19 12:29 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student was physically aggressive towards staff and eloped from the 10/1/19 9:56 AM building. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/15/19 1:55 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/12/19 9:43 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/13/19 1:25 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/12/20 12:15 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/17/19 9:38 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/30/19 12:29 PM Student was disruptive in class and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/30/19 12:29 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/31/19 12:00 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/31/19 8:59 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/31/19 2:12 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/1/19 9:00 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/5/19 10:27 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





