Table: Table_1

2020-2021 ,11/5/20 1:19 PM ,In calming room, student broke a clipboard into pieces. Used a sharp metal piece to destroy things. Needed to be escorted into the T/O Room ( ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/20 1:20 PM ,X Student was in the tutorials and began hitting staff. Opening door to outside. Was put in a small child then supine Went to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/12/20 1:20 PM ,X Student was in the tutorials and began hitting staff. Opening door to outside. Was put in a small child then supine ( ). Went to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/20 1:20 PM ,Student was not listening to directions in class and was shutting the lights on and off and swearing at staff. Student then left the room and was in the hallway.. a staff member was with him and then another staff went to help her.. they called me out to help restrain him.. the staff restrained him and I grabbed his legs but lost hold of him and then he started kicking me and swearing at me.. the staff told me to go back in the room and Cls arrived just as I was re-entering my classroom. there was a 3rd support staff in the classroom with students when I left to help. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/13/201 10:30 AM ( ,Student was chasing other students around the halls. Then ran from staff and hid in the stairwell. Support was called. Walked to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,11/13/20 1:22 PM ,Student ran out of calming room. Ran around halls and started climbing on the stairs. Escorted to T/O ( ) ,Intervention: Time Out (minutes) ,
2020-2021 ,11/30/20 1:45 PM ,Student was jumping on walls, put his foot through the wall. Ran through staff, pushed staff, walked to T/O ( ,Intervention: Time Out (minutes) ,
2020-2021 ,12/1/20 8:20 AM ( ,Student ran from staff, had his tablet and was going on youtube and threatening to take pictures of people. Support escorted him to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,12/1/20 1:00 PM ,Student was climbing in the fish bowl and spitting. Then began climbing in the stairwell and was unsafe. eScorted to T/O ,Intervention: Time Out (minutes) ,





