Table: Table_1

2020-2021 ,X started arguing with students and disrespectful towards staff at the end of the day. She was asked multiple times to sit down but she refused and then attacked hitting her and kicking her. She was held and escorted to a calming room. She eloped from the 11/13/20 2:00 PM calming room and attacked again before going to her bus. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X started arguing with students and disrespectful towards staff at the end of the day. She was asked multiple times to sit down but she refused and then attacked hitting her and kicking her. She was held and escorted to a calming room. She eloped from the 11/13/20 2:00 PM calming room and attacked again before going to her bus. ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X X X Physical intervention - Small Child 1 person 10:53-10:55 grabbed arm, YT told her to stop yelled at both girls started to hit and kick each other were split apart and put in small child until support came 1/13/21 10:52 AM went to PAS to process through what happened ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X TO- Escort did not want to sit her minutes at free time. She hit, pushed, and kicked staff. She was escorted to time out and remained in time out 3/19/21 1:50 PM until her bus was called. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student left speech and ran outside to the playground. Support was called and escorted him in. Ran again after almost getting to classroom. Student became aggressive by pushing and kicking staff. 9/23/2012:00 PM T.o- ,Intervention: Time Out (minutes) ,
2020-2021 ,Student chose not to return to classroom after leaving bathroom. Was running the hallways until support escorted him to T.O returned to class and refused to work and began to climb on tables 9/24/20 9:05 AM and chairs. ,Intervention: Time Out (minutes) ,





