Table: Table_1

2021-2022 ,9/10/21 12:32 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/15/21 12:27 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/20/21 1:54 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,8/9/21 9:30 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/12/21 10:24 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/9/21 2:00 PM Student was physically aggressive towards staff and herself. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/13/21 3:42 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/21/21 2:20 PM Student displayed unsafe behavior by eloping from staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/26/21 10:16 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





