Table: Table_1

2020-2021 ,X X refused to go into the classroom. He ran away from staff and tried to leave the building. Pushing on support to try to leave. Support 4/14/21 8:20 AM called Escorted to TO. (PI: TO ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X refused to go to class after getting his breakfast. Student ran away from staff and ran out of the building. Support was called. Escorted to TO (PI: TO 4/14/219:05 AM ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X asked staff to go to crash pad. asked him to wait. ran out of the classroom and attempted to run out of the building. Staff blocked him and he started to hit and kick at staff. Staff brought him to TO where started to urinate on the floor and carpet. Admin. called. 4/16/21 11:25 AM TO PI: ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X X started yelling "i dont want to be here" " go get my mom" then started disrupting class making noises and kicking the table. Class was cleared and support was called. started throwing chairs and tipping tables. guided him to TO. started kicking staff. TO 4/16/21 12:30 PM ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X X did not want to do work. Started bothering other students. started kicking another student's desk and then started kicking staff. RW was put in a 3 person supine ( support came and escorted 5/4/21 8:50 AM him to TO ( where he proceeded to yell and urinate. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X X X X X did not want to do work. Started bothering other students. started kicking another student's desk and then started kicking staff. was put in a 3 person supine ( support came and escorted 5/4/21 8:50 AM him to TO ( ) where he proceeded to yell and urinate. ,Intervention: Time Out (minutes) ,
2020-2021 ,X refused to follow directions and do iReady. He tried to run out of the classroom but staff stopped him. Then he was aggressive towards staff. Support was called and escorted to TO. While in TO he peed on 5/6/21 8:48 AM the floor. TO: PI: ,Intervention: Time Out (minutes) ,





