Table: Table_1

2018-2019 ,6/17/19 12:40 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/17/19 1:20 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/18/19 10:22 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 11:19 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 11:40 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/20/19 9:52 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student displayed unsafe behavior by running away from staff and 8/8/18 12:35 PM pushing staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/3/19 11:50 AM Student was kicking and pushing. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was physically aggressive towards staff and was pouring 1/15/19 10:34 AM water and milk on the floor. ,Intervention: Time Out (minutes) ,
,Student was physically aggressive towards staff and displayed unsafe ,,
2018-2019 ,1/15/19 12:04 PM behavior by trying to go outside. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/29/19 10:10 AM Student was biting, grabbing and pinching. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/12/19 10:16 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/26/19 1:39 PM Student was biting, pinching, kicking and bolting from staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/11/19 10:52 AM Student was physically aggressive and eloping from staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was physically aggressive towards staff after being denied to 3/12/19 9:39 AM go into a classroom. ,Intervention: Time Out (minutes) ,
,Student was physically aggressive towards staff and displayed unsafe ,,
2018-2019 ,3/18/19 1:09 PM behavior by running from staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/17/19 12:07 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/20/19 9:31 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/20/19 9:48 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/23/19 9:40 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/23/19 9:50 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/28/19 9:45 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/28/19 1:15 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/28/19 2:28 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/29/19 9:25 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/29/19 11:45 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 3:17 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/27/19 9:50 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/27/19 10:24 AM Student was biting, hitting, swearing and kicking. ,Intervention: Time Out (minutes) ,





