Table: Table_1

2018-2019 ,5/30/19 11:45 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/30/19 1:47 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/3/19 10:05 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/3/19 10:05 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/3/19 12:52 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/4/19 11:08 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/4/19 12:00 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/4/19 12:45 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 12:23 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 12:54 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 3:05 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/6/19 10:49 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/6/19 12:15 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/7/19 11:03 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/7/19 2:19 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/7/19 2:58 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/14/19 12:36 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/14/19 2:15 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/14/19 3:15 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/17/19 2:56 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 9:57 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/19/19 2:04 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/20/19 12:49 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/20/19 1:18 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/20/19 2:09 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/21/19 12:26 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/27/18 11:35 AM Student was physically aggressive towards staff by kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/30/18 1:31 PM Student was hitting, kicking and throwing objects at staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was hitting, kicking, throwing items and swiping items in the 8/9/18 11:28 AM min office ,Intervention: Time Out (minutes) ,
2018-2019 ,Student punched the smart board twice and tried to throw a 10/26/18 12:00 PM computer. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/4/19 11:30 AM Student was grabbing staff, trying to dump water and swiping objects. ,Intervention: Time Out (minutes) ,





