Table: Table_1

2020-2021 ,Student in calming room for hightened emotions. 915 student started to bang his forehead on the floor. Staff placed student in a 1 person 3/25/21 9:00 AM small child restraint. PI 1min ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X was playing a game in Phys. Ed. and got mad because he was not doing as well as the other student. He took his mask off and shut down. Support was called. exited through the back door of the Gym and was then escorted to T.O. where he refused to put his mask on and return to class. He was in T.O. from The rest of the time was a calming space/seperate location because he refused to 4/6/21 12:40 PM wear his mask. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student in his area without mask on. Started to disturb adjoining class. Started to spit at door and surrounding area. support called and escorted him to TO student began banging his head 4/19/21 12:20 PM against wall and door. 1pm calming room used until 2 pm. Pl: ,Intervention: Time Out (minutes) ,
2020-2021 ,X X 845-945 Student was being noncompliant. refusal to wear a mask. started to lick the furniture and roam around the classroom w/o. a mask. support called student then escorted to TO. Pl:1min TO: 5/7/21 9:45 AM ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,Student being unsafe with staff and self. Support called and escorted to TO. PI: 6/8/21 9:30 AM TO 9 ,Intervention: Time Out (minutes) ,
2020-2021 ,Student kicking desk leg with bare heels and hitting his head with closed fists. Support called, escorted to TO student refused to go to bus, support escorted FG to bus. PI: TO 6/8/21 1:20 PM ,Intervention: Time Out (minutes) ,





